project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
reforestation,80.67,11,6457.84,398.43,Chhattisgarh,1.73,4383
methane_capture,8.64,14,2665.44,200.28,Uttarakhand,0.62,2804
electric_mobility,66.83,12,6053.99,569.28,Madhya Pradesh,1.23,6831
electric_mobility,9.91,6,1260.61,181.19,Chandigarh,0.87,1087
reforestation,0.0,16,2299.81,724.77,Delhi,0.0,11596
wetland_restoration,7.84,19,1415.9,164.02,Delhi,1.08,3116
methane_capture,0.0,19,10039.02,582.46,Sikkim,0.0,11067
sustainable_agriculture,0.0,8,9701.39,246.45,Bihar,0.0,1972
afforestation,0.0,7,7122.77,505.45,West Bengal,0.0,3538
solar_power,0.0,6,9539.97,969.07,Andhra Pradesh,0.0,5814
solar_power,0.0,6,7010.41,215.97,Andaman and Nicobar Islands,0.0,1296
geothermal_energy,34.53,6,805.1,173.79,Sikkim,1.38,1043
wetland_restoration,0.0,19,4253.74,591.06,Puducherry,0.0,11230
carbon_sequestration,33.46,6,1800.17,186.68,Uttarakhand,1.12,1120
wetland_restoration,0.0,10,1281.82,858.06,Gujarat,0.0,8581
reforestation,0.0,16,9455.49,905.34,Tamil Nadu,0.0,14486
methane_capture,0.0,18,7545.45,393.89,Himachal Pradesh,0.0,7090
carbon_sequestration,0.0,18,4547.78,245.23,Andaman and Nicobar Islands,0.0,4414
geothermal_energy,85.23,12,4777.84,393.38,Madhya Pradesh,3.99,4721
reforestation,31.69,13,1986.47,501.1,Andaman and Nicobar Islands,3.17,6514
sustainable_agriculture,0.0,5,2203.27,623.4,Haryana,0.0,3117
wetland_restoration,0.0,5,4583.3,205.52,Tamil Nadu,0.0,1028
wind_energy,107.43,15,0.0,0.0,Puducherry,7.98,12859
electric_mobility,387.92,7,0.0,0.0,Andhra Pradesh,3.52,9554
biochar_production,32.9,11,2625.1,162.36,Nagaland,2.33,1786
wetland_restoration,0.0,5,1572.03,379.88,West Bengal,0.0,1899
biochar_production,0.0,12,6993.3,632.17,Uttarakhand,0.0,7586
solar_power,44.47,10,798.99,228.31,Lakshadweep,1.44,2283
green_building,36.36,5,1140.17,60.11,Puducherry,0.97,301
biochar_production,45.62,19,1755.24,115.71,Sikkim,1.1,2199
sustainable_agriculture,50.16,11,5868.61,169.67,Madhya Pradesh,3.25,1866
biochar_production,211.09,11,0.0,0.0,Lakshadweep,8.29,19246
wetland_restoration,94.57,8,5863.49,540.23,Delhi,3.4,4322
carbon_sequestration,40.6,14,2678.65,250.92,Ladakh,1.77,3513
solar_power,0.0,16,7414.63,1083.28,Punjab,0.0,17332
afforestation,40.56,20,1295.01,77.51,Rajasthan,2.29,1550
green_building,0.0,13,10419.97,200.52,Meghalaya,0.0,2607
methane_capture,0.0,17,13189.5,206.95,Goa,0.0,3518
biochar_production,27.17,12,2231.09,117.35,Maharashtra,1.47,1408
electric_mobility,0.0,12,9486.19,390.88,Karnataka,0.0,4691
biochar_production,28.35,20,662.23,113.48,Himachal Pradesh,1.31,2270
afforestation,13.34,16,1252.2,121.21,Goa,1.49,1939
afforestation,30.34,5,3877.26,116.53,Manipur,4.91,583
carbon_sequestration,91.29,20,2014.26,344.73,Maharashtra,1.96,6895
green_building,280.92,20,0.0,0.0,Sikkim,7.15,40165
green_building,0.0,11,11901.05,437.64,Andaman and Nicobar Islands,0.0,4814
green_building,40.35,19,2958.56,149.71,Jammu and Kashmir,1.44,2844
solar_power,0.0,19,1812.61,851.77,Lakshadweep,0.0,16184
wetland_restoration,0.0,16,8606.58,895.81,Haryana,0.0,14333
afforestation,0.0,7,6318.04,709.81,Tripura,0.0,4969
wind_energy,358.46,7,0.0,0.0,Punjab,8.67,21746
biochar_production,326.13,8,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,4.22,11012
afforestation,20.48,5,2594.28,218.92,Sikkim,1.54,1095
solar_power,0.0,13,2021.26,932.22,Chandigarh,0.0,12119
biochar_production,0.0,18,7262.06,305.7,Meghalaya,0.0,5503
methane_capture,410.44,20,0.0,0.0,Bihar,6.89,56529
wetland_restoration,0.0,16,5390.78,1196.25,Mizoram,0.0,19140
biochar_production,449.64,18,0.0,0.0,Tripura,9.3,75293
afforestation,0.0,15,2698.36,350.98,Himachal Pradesh,0.0,5265
geothermal_energy,73.97,7,7209.6,489.94,Delhi,4.59,3430
electric_mobility,426.95,12,0.0,0.0,Telangana,9.55,48926
reforestation,90.36,8,1064.38,150.74,Haryana,3.43,1206
green_building,0.0,7,14657.63,483.92,Delhi,0.0,3387
carbon_sequestration,0.0,18,5938.6,722.71,Tripura,0.0,13009
biochar_production,0.0,20,9950.12,258.33,Gujarat,0.0,5167
green_building,27.54,8,6225.44,424.82,Chhattisgarh,2.3,3399
sustainable_agriculture,73.49,11,4797.78,354.41,Uttar Pradesh,2.23,3898
sustainable_agriculture,0.0,10,3386.82,319.59,Maharashtra,0.0,3196
carbon_sequestration,48.97,10,2765.25,158.6,Telangana,1.47,1586
electric_mobility,0.0,9,5523.73,619.21,Andaman and Nicobar Islands,0.0,5573
green_building,87.1,20,4494.35,386.0,Manipur,1.92,7720
biochar_production,0.0,20,10391.14,377.11,Andaman and Nicobar Islands,0.0,7542
methane_capture,0.0,16,8109.28,479.56,Ladakh,0.0,7673
wind_energy,0.0,10,6812.06,215.46,Ladakh,0.0,2155
electric_mobility,36.42,12,5006.05,590.17,Punjab,3.21,7082
methane_capture,15.43,8,2627.84,129.23,Arunachal Pradesh,1.27,1034
afforestation,40.41,20,6909.49,565.01,Lakshadweep,2.58,11300
carbon_sequestration,0.0,18,3263.29,815.01,Tripura,0.0,14670
green_building,185.74,10,0.0,0.0,Punjab,4.78,8877
biochar_production,439.91,14,0.0,0.0,Dadra and Nagar Haveli and Daman and Diu,8.19,50412
geothermal_energy,76.94,5,0.0,0.0,Punjab,7.96,3063
sustainable_agriculture,0.0,11,5816.69,1009.36,Meghalaya,0.0,11103
solar_power,135.54,7,0.0,0.0,Haryana,7.28,6908
solar_power,0.0,16,8647.45,701.52,Gujarat,0.0,11224
wetland_restoration,105.19,17,0.0,0.0,Andaman and Nicobar Islands,3.5,6253
methane_capture,0.0,18,8162.13,901.0,Punjab,0.0,16218
